CRASH_RECORD_ID,INJURIES_FATAL,LOCATION,LATITUDE,LONGITUDE
fdc5d4d1299102e75fd8c7997ea5c343a0b5e62a4f7bde7d2b6e5a02cd0d1c68711cc086eac0fabcbb7060de7b587328ca5dd9c56e8c8052c2595113fe818adf,1.0,POINT (-87.719701637005 41.885242209045),41.885242209,-87.719701637
03fc9853f2681e6b862125336018fada5fd2c48eca6a3d03b8b87c04aa5190238098dd63669a6611b21f0350580be9afcd95815915132141fb0257a03eb81178,1.0,POINT (-87.614727902706 41.862365809411),41.862365809,-87.614727903
0648098362593e88437b7058899806a5719e44abee6b3a9f4885c6e66cedc5c7edfa4fc3796082bd2d733d019ab5c0cda358bc38aa35f341cea2203502367a99,1.0,POINT (-87.756214749639 41.796556164536),41.796556165,-87.75621475
11affdb74f4c6df4fe25e7ecb54e2434bc68c56960d00bedf03795f68add9bb917fdd9105dc13e5ae4db7a9c51d8df34882f3a2714a0a7e17601fa601557414e,1.0,POINT (-87.695098090954 41.866629331397),41.866629331,-87.695098091
1a389c35fbc2a969c36783b5f673620f993d4f3aa6d9d7c97f015e9e5194937768e5f6e76adbc263934d2424a50ba58d8c893215892028a65a1b7a5167746c77,1.0,POINT (-87.583728442009 41.765892499162),41.765892499,-87.583728442
239bb56a45c59854eb58e9ca154c19669fc9aa2fbbb1e6db05d63d94605b9e9f9877ef971370b1cb84d62d5f0693b2bb23ae4328a1d4792800d714c42951b75c,1.0,POINT (-87.711797782623 41.997237288655),41.997237289,-87.711797783
27631440291c48f486e7966899831db0bbef1ad4572b7c785223bebb2b8bf3d267459321f1d913828afc18a1246c67e84e7d092e9e20bc8d5481b8f7faf4064a,1.0,POINT (-87.715403133596 41.860652183977),41.860652184,-87.715403134
27b5cb9292b37d0cc8eec34ca67e641707af1ffe8948af872b68318e5714899e91f51d28bd6667e3a910fd515c61ae9da017961340cac07e46b4776e9e3e2e1c,1.0,POINT (-87.644816442611 41.799879843365),41.799879843,-87.644816443
2a8da30bd6fa99fbe7740b1e6932aa16e7a3afe9cd9f2da6a46f1102f51255e844532076352ec3d649cceb01562369468920d140c6e5d486a9d6603b47c65fbd,1.0,POINT (-87.783117474011 41.974870615284),41.974870615,-87.783117474
31773e808ba2fe3be3bfd3ae4d15ddbd70078a9ffe6be37d50cdc1089f25513a396733b20317096fce253e9a7c105c7de5c0bf1f3a74a6945019035e1e38f731,1.0,POINT (-87.71956135568 41.87176574478),41.871765745,-87.719561356
